year,crop,acres_harvested,ears_per_acre,plant_pop,production_dollars,bu_per_acre
1947,OATS,5247e3,NA,NA,NA,31
1947,RYE,15e3,NA,NA,NA,15
1947,SOYBEANS,1884e3,NA,NA,NA,15.5
1947,WHEAT,201e3,NA,NA,NA,17.9
1948,BARLEY,33e3,NA,NA,NA,32
1948,CORN_GRAIN,10732e3,NA,NA,850565e3,60.5
1948,FLAXSEED,104e3,NA,NA,NA,15.5
1948,HAY,2943e3,NA,NA,NA,NA
1948,OATS,6086e3,NA,NA,NA,45
1948,RYE,17e3,NA,NA,NA,15.5
1948,SOYBEANS,1564e3,NA,NA,79529e3,22.5
1948,WHEAT,317e3,NA,NA,NA,23.3
1949,BARLEY,31e3,NA,NA,811e3,25.9
1949,CORN_GRAIN,11101e3,NA,NA,662619e3,47
